dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract
MtSCCD：Land-use scene classification and change-detection dataset for deep learning,Zhou W.,National Remote Sensing Bulletin,10.11834/jrs.20243210,1,False,Nanjing University of Information Science &amp; Technology,Nanjing,China,"Land-Use Scene Classification and change Detection (LUSCD) aim to recognize land-use types and monitor their changes by using Remote-Sensing (RS) images, which play an important role in urban planning and land-use optimization. In the era of RS big data, conventional hand-crafted feature-based methods are infeasible for LUSCD because the extracted features are not sufficiently discriminative for RS images with high complexity. As a novel data-driven paradigm for information extraction from RS images, deep learning provides a new solution for LUSCD. However, the existing publicly available datasets have limited samples and is thus unable to train a successful deep-learning model. Therefore, it has great significance in constructing an open and large-scale LUSCD benchmark. To advance the progress of LUSCD using deep-learning methods, this paper releases a large-scale scene classification and change-detection dataset termed Multi-temporal Scene Classification and Change Detection (MtSCCD). The RGB images in MtSCCD are cropped from large-size high-resolution RS images captured from the central areas of five China cities, namely, Hangzhou, Shanghai, Wuhan, Nanjing, and Hefei. The size of the cropped images is 300×300 pixels with the spatial resolution of around 1 m. MtSCCD has 10 land use classes, which are residential land, public service and commercial land, educational land, industrial land, transportation land, agricultural land, water body, green space, woodland, and woodland. Based on the cropped land-use images in MtSCCD, this paper constructs two sub-datasets termed MtSCCD_LUSC (MtSCCD Land Use Scene Classification) and MtSCCD_LUCD (MtSCCD Land Use Change Detection) for land-use scene classification (LUSC) and land-use change detection (LUCD), respectively. MtSCCD dataset has the following characteristics. (1) It is currently the largest publicly available LUSCD dataset, and both of the two sub-datasets (i.e., MtSCCD_LUSC and MtSCCD_LUCD) have 65548 images in total. (2) The images in MtSCCD are split into training set, validation set, and testing set according to the five cities. For example, images from three of the five cities are randomly split into training and validation set, whereas the rest remain to be the testing set. Therefore, MtSCCD has high extensibility, i.e., it can be easily extended to be a larger dataset. (3) For a deep-learning model, the training set and testing set are categorized from different cities, so it is beneficial to demonstrate the model’s generalization ability. (4) MtSCCD has high intra-class diversity, making it a challenging dataset. Based on MtSCCD_LUSC and MtSCCD_LUCD, this paper evaluates several deep-learning feature-based methods for LUSC and LUCD. Specifically, AlexNet, VGG networks (i.e., VGG16 and VGG19), GoogLeNet, and ResNet networks (i.e., ResNet18, ResNet50, and ResNet101) are selected to extract deep-learning features that are then fed into SVM for LUSC. We also evaluate DenseNet, EfficientNet, SENet, ViT, and SwinT for LUSC. Two kinds of LUCD approaches including conventional classification-based methods and current similarity-based methods have been evaluated. Experimental results show that the highest overall accuracy of MtSCCD_LUSC dataset is around 76%, indicating much room for improvement. Regarding LUCD, similarity-based methods particularly similarity learning-based ones outperform classification-based methods by a significant margin, providing a promising research direction for LUCD. This paper presents the currently largest scene classification and change-detection dataset MtSCCD based on high-resolution RS images of the central area of five China cities. MtSCCD contains two subsets MtSCCD_LUSC and MtSCCD_LUCD. Both had 10 land-use types and 65548 images in total. Based on the two sub-datasets, this paper evaluates the performance of several deep networks for scene classification and change detection, expecting to provide baseline results for related researchers. We hope that the MtSCCD dataset can promote this progress in land-use type recognition and monitoring.","['termed', 'hefei', 'deeplearning', 'following', 'detection', 'cities', 'svm', 'high', 'similarity', 'characteristics', 'classes', 'transportation', 'dataset', 'respectively', 'thus', 'solution', 'rgb', 'datasets', 'therefore', 'highresolution', 'hangzhou', 'demonstrate', 'features', 'larger', 'rest', 'densenet', 'researchers', 'commercial', 'fed', 'infeasible', 'currently', 'era', 'direction', 'largescale', 'wuhan', 'similaritybased', 'advance', 'area', 'progress', 'highest', 'conventional', 'featurebased', 'significance', 'swint', 'presents', 'landuse', 'residential', 'datadriven', 'room', 'subdatasets', 'intraclass', 'subsets', 'classificationbased', 'deep', 'training', 'rs', 'body', 'handcrafted', 'lusc', 'available', 'green', 'learning', 'according', 'train', 'including', 'water', 'specifically', 'service', 'sufficiently', 'kinds', 'making', 'recognition', 'promising', 'resnet', 'randomly', 'several', 'example', 'selected', 'changedetection', 'agricultural', 'benchmark', 'mtsccd', 'approaches', 'evaluates', 'recognize', 'efficientnet', 'accuracy', 'particularly', 'space', 'size', 'evaluated', 'open', 'novel', 'learningbased', 'baseline', 'two', 'use', 'great', 'current', 'samples', 'evaluate', 'lucd', 'generalization', 'total', 'overall', 'scene', 'type', 'around', 'improvement', 'limited', 'cropped', 'different', 'set', 'types', 'woodland', 'educational', 'ones', 'expecting', 'show', 'beneficial', 'extraction', 'monitoring', 'change', 'monitor', 'role', 'captured', 'namely', 'constructs', 'diversity', 'changes', 'multitemporal', 'whereas', 'senet', 'significant', 'unable', 'classification', 'vgg', 'remotesensing', 'publicly', 'areas', 'land', 'easily', 'luscd', 'paradigm', 'industrial', 'complexity', 'related', 'public', 'models', 'testing', 'existing', 'extended', 'categorized', 'much', 'important', 'remain', 'aim', 'extracted', 'challenging', 'providing', 'shanghai', 'central', 'ie', 'vit', 'contains', 'hope', 'ability', 'resolution', 'play', 'googlenet', 'largest', 'split', 'margin', 'outperform', 'promote', 'three', 'provides', 'pixels', 'five', 'experimental', 'regarding', 'validation', 'largesize', 'indicating', 'nanjing', 'provide', 'extensibility', 'extract', 'releases', 'alexnet', 'optimization', 'discriminative', 'successful', 'new', 'images', 'constructing', 'networks']"
Simulating inter-city population flows based on graph neural networks,Luo M.,Geocarto International,10.1080/10106049.2024.2331223,0,True,Sun Yat-Sen University,Guangzhou,China,"Inter-city population mobility, a critical phenomenon in the modern urbanisation process, is closely related to urban industrial structure and socioeconomic development. This paper aims to investigate the dynamics of population flows and their intricate ties to industrial structure, so we employ the graph neural networks (GNNs) method to simulate inter-city population flows in China, which efficiently integrates demographic and socioeconomic data with Tencent migration big data while accounts for geographical relationships between cities. The results show that the model’s predictive accuracy using the CPC index was high for road and rail traffic and moderate for air transportation. A comparison with real-world data verified the model’s effectiveness in predicting the urban hierarchy and regional aggregation of flows. Using GNNExplainer, the results indicated that population size positively influenced population flow, while developed manufacturing reduced population mobility for road and rail traffic but increased it for air transportation. By conducting scenario simulations in Northeast China, we found that enhancing the region’s industry and consumer service industry could mitigate negative population outflows. The conclusions drawn from this study offer valuable perspectives to policymakers and urban planners, enabling them to make well-informed and judicious choices concerning urban planning, transportation, and resource allocation.","['cities', 'high', 'enabling', 'transportation', 'integrates', 'choices', 'mobility', 'consumer', 'resource', 'reduced', 'industry', 'closely', 'indicated', 'ties', 'regions', 'networks', 'hierarchy', 'increased', 'dynamics', 'intricate', 'predicting', 'simulations', 'effectiveness', 'index', 'neural', 'aggregation', 'developed', 'manufacturing', 'service', 'realworld', 'mitigate', 'socioeconomic', 'valuable', 'regional', 'verified', 'relationships', 'rail', 'scenario', 'accuracy', 'drawn', 'graph', 'size', 'population', 'air', 'policymakers', 'predictive', 'simulate', 'method', 'make', 'northeast', 'employ', 'influenced', 'geographical', 'urbanisation', 'allocation', 'cpc', 'conducting', 'aims', 'modern', 'show', 'concerning', 'negative', 'gnns', 'industrial', 'could', 'related', 'models', 'structure', 'critical', 'positively', 'flow', 'wellinformed', 'conclusions', 'gnnexplainer', 'phenomenon', 'accounts', 'planners', 'intercity', 'moderate', 'found', 'demographic', 'enhancing', 'perspectives', 'judicious', 'road', 'traffic', 'offer', 'tencent', 'efficiently', 'migration', 'comparison', 'flows', 'outflows', 'investigate']"
The Wharf Street Smart Park Story: A Guide to Navigating Multi-Stakeholder Innovation in Smart Cities,Tiwari R.,Sustainability (Switzerland),10.3390/su16020503,1,True,Curtin University,Perth,Australia,"The challenges of multistakeholder innovation in smart city projects can be navigated through collaboration and a clear understanding of each organisation’s values, technology, user groups, and potential policy changes. Increasing technology use in urban development projects brings numerous challenges, such as technology redundancy, varying stakeholder expectations, and the required policy changes. This paper aims to discuss the story of the development of Wharf Street smart park in Western Australia and highlights strategies for overcoming the challenges of multistakeholder innovation in smart city projects. It utilises a democratic collaboration tool to map out each organisation’s vision, values, and responsibilities at the initial stage of the project to create an open innovation ecosystem where knowledge can be shared. High collaboration levels using this tool have helped establish common goals, adaptive practices and overcome governance and technical challenges. However, the tool needs further development, as it was found to be insufficient in addressing long-term management issues, risk mapping, and user group identification for big data.","['increasing', 'governance', 'use', 'potential', 'ecosystem', 'discuss', 'australia', 'management', 'groups', 'create', 'brings', 'shared', 'map', 'numerous', 'high', 'varying', 'park', 'strategies', 'practices', 'tool', 'needs', 'risk', 'initial', 'found', 'city', 'organisations', 'policy', 'overcoming', 'responsibilities', 'expectations', 'technology', 'values', 'navigated', 'highlights', 'aims', 'goals', 'western', 'levels', 'democratic', 'challenges', 'wharf', 'project', 'smart', 'stage', 'changes', 'insufficient', 'utilises', 'multistakeholder', 'vision', 'helped', 'technical', 'redundancy', 'innovation', 'establish', 'common', 'projects', 'story', 'collaboration', 'identification', 'longterm', 'adaptive', 'addressing', 'street', 'open', 'clear', 'overcome', 'stakeholder', 'group', 'mapping', 'user', 'issues', 'required']"
Achieving Sustainable Smart Cities through Geospatial Data-Driven Approaches,Costa D.G.,Sustainability (Switzerland),10.3390/su16020640,10,True,Universidade do Porto,Porto,Portugal,"In recent years, the concept of smart cities has become increasingly important in the pursuit of sustainable development goals. In general, common urban challenges have been addressed through smart-city services, and new perspectives for more sustainable cities have emerged. To realize the full potential of such smart urban environments, geospatial approaches have been used as a focal point, offering a plethora of applications that contribute to a better understanding of urban challenges and innovation potentials. Nevertheless, although significant progress has been made, different problems may arise when the available technologies and resources are not understood or even when their potentialities are not properly capitalized. This article reviews the state of the art in the field, highlighting success cases and remaining challenges in exploiting geospatial data-driven strategies, particularly when leveraging geographic information systems, satellites, and distributed sensors to produce and process geospatial data and datasets in urban scenarios. Moreover, a more organized perspective of the area is provided in this article, as well as future development trends, supporting new research efforts in this area when empowering smart cities for a more sustainable future.","['produce', 'full', 'made', 'cities', 'services', 'general', 'applications', 'datasets', 'organized', 'success', 'geographic', 'challenges', 'supporting', 'arise', 'innovation', 'resources', 'concept', 'area', 'progress', 'remaining', 'technologies', 'scenarios', 'addressed', 'datadriven', 'environments', 'potentialities', 'properly', 'pursuit', 'capitalized', 'years', 'offering', 'problems', 'available', 'even', 'highlighting', 'plethora', 'leveraging', 'reviews', 'point', 'efforts', 'approaches', 'perspective', 'common', 'particularly', 'realize', 'distributed', 'moreover', 'potentials', 'potential', 'may', 'well', 'field', 'understood', 'trends', 'different', 'smartcity', 'sustainable', 'goals', 'smart', 'nevertheless', 'significant', 'cases', 'geospatial', 'state', 'exploiting', 'contribute', 'important', 'systems', 'increasingly', 'emerged', 'although', 'sensors', 'recent', 'strategies', 'satellites', 'future', 'empowering', 'perspectives', 'art', 'focal', 'become', 'better', 'new', 'provided']"
Areas of Crime in Cities: Case Study of Lithuania,Beconytė G.,ISPRS International Journal of Geo-Information,10.3390/ijgi13010001,0,True,Vilniaus Universitetas,Vilnius,Lithuania,"In all countries, cities and their suburbs are the most densely populated areas. They are also the places visited by the largest number of tourists and one-day visitors, who inevitably run the risk of becoming victims of crime. It is, therefore, important, not only at national but also at the international level, to know the structure of urban crime and identify urban areas that differ in terms of their criminogenic situation. This requires a geographical approach and regionalisation based on the quantitative data that can offer it. This paper presents the results of a study using big data regarding violent crime, property crime and infringements against public order registered by the police in 2020 in the territories of three major Lithuanian cities and their suburbs (n = 149,239). Events in open spaces were separately addressed. A series of experiments were carried out using several spatial clustering methods. The automatic zoning procedure method that gave the best statistical results was then tested with different combinations of parameters. In each city, seven types of areas of urban crime were identified. Maps of crime areas (regions) were created for each city. The results of the regionalisation have been interpreted from a socio-geographical point of view and conform with previous sociological urban studies. Seven types of areas of crime have been identified, which are present in all the cities studied and, according to a preliminary assessment, roughly correspond to the socio-demographic and urban zones of each city. The maps of crime areas can be applied for crime prevention planning and communication, real estate valuation, strategic urban development planning and other purposes.","['separately', 'best', 'know', 'identify', 'oneday', 'statistical', 'sociodemographic', 'series', 'purposes', 'cities', 'suburbs', 'maps', 'communication', 'experiments', 'risk', 'regionalisation', 'populated', 'therefore', 'parameters', 'correspond', 'situation', 'strategic', 'studies', 'regions', 'real', 'property', 'major', 'events', 'presents', 'addressed', 'automatic', 'present', 'n', 'requires', 'international', 'inevitably', 'prevention', 'roughly', 'combinations', 'crime', 'according', 'gave', 'densely', 'run', 'number', 'terms', 'point', 'valuation', 'several', 'applied', 'conform', 'studied', 'level', 'becoming', 'carried', 'quantitative', 'differ', 'method', 'geographical', 'registered', 'view', 'seven', 'victims', 'preliminary', 'city', 'procedure', 'different', 'types', 'tested', 'police', 'previous', 'sociological', 'lithuanian', 'areas', 'public', 'structure', 'clustering', 'identified', 'important', 'visitors', 'infringements', 'interpreted', 'places', 'tourists', 'territories', 'largest', 'zones', 'three', 'sociogeographical', 'regarding', 'visited', 'national', 'offer', 'order', 'criminogenic', 'violent', 'created', 'estate', 'zoning', 'countries', 'open', 'spaces']"
How does urban heat island differ across urban functional zones? Insights from 2D/3D urban morphology using geospatial big data,Lin A.,Urban Climate,10.1016/j.uclim.2023.101787,20,False,Central China Normal University,Wuhan,China,"The deteriorating urban thermal environment poses a huge impediment to sustainable urban development, which is closely related to the urban morphology under different urban functional zones (UFZs). By integrating remote sensing and geospatial big data, this work aims to reveal the divergent mechanism behind Urban Heat Island (UHI) across UFZs taking insights from 2D/3D urban morphology. The Minimum Spanning Tree (MST) indicator depicting 3D building distribution was introduced and integrated with the classic indicators. Their impacts on UHI were measured by ensemble learning and SHapley Additive exPlanations (SHAP) model. Taking Wuhan as the study area, the eighteen 2D/3D urban morphology indicators affecting UHI in different locations and UFZs were extensively examined and compared. The results reveal that: 1) The impact of 2D/3D urban morphology indicators on UHI significantly varies across different UFZs, with dominance in transportation zones exhibiting opposite polarity compared to the other types; 2) positive impacts have a decreasing trend from the urban center to the edge, while negative impacts exhibit opposite trend; 3) XGBoost outperforms other classic methods in interpreting the impact of urban morphology on UHI for all UFZ types. The findings improving knowledge of UHI across UFZs will provide a practical guide for urban planning.","['insights', 'edge', 'practical', 'distribution', 'varies', 'remote', 'ufzs', 'transportation', 'tree', 'environment', 'locations', 'heat', 'closely', 'impediment', 'ensemble', 'examined', 'uhi', 'wuhan', 'guide', 'introduced', 'area', 'explanations', 'taking', 'sensing', 'morphology', 'poses', 'work', 'outperforms', 'trend', 'huge', 'deteriorating', 'learning', 'reveal', 'indicator', 'behind', 'measured', 'dominance', 'interpreting', 'island', 'affecting', 'shapley', 'ufz', 'building', 'xgboost', 'integrating', 'significantly', 'opposite', 'mechanism', 'different', 'positive', 'types', 'sustainable', 'aims', 'classic', 'functional', 'divergent', 'improving', 'exhibiting', 'negative', 'spanning', 'geospatial', 'center', 'related', 'additive', 'exhibit', 'indicators', 'decreasing', 'integrated', 'zones', 'across', 'extensively', 'shap', 'minimum', 'thermal', 'mst', 'impacts', 'provide', 'polarity', 'compared', 'eighteen', 'depicting']"
Projecting high resolution population distribution using Local Climate Zones and multi-source big data,Ma L.,Remote Sensing Applications: Society and Environment,10.1016/j.rsase.2023.101077,2,False,Nanjing University,Nanjing,China,"High precision and easily updatable data on population estimates are critical for urban planning, disaster risk assessment, and public health campaigns. However, traditional administrative census data often faces limitations in spatial resolution, making it difficult for further applications. In this study, we construct a fast and efficient population estimation model using Local Climate Zones (LCZ) products at a fine spatial scale. The population totals are estimated by LCZ units, based on a robust linkage between built LCZ types and population density. Validated by city- and county-level census data in 21 cities in China, the new model exhibits a very good fit with R2 values of 0.77 and 0.73 respectively, which confirms the effectiveness of LCZ-based population estimates. To our knowledge, this is the first study that directly estimates the population via LCZ maps. In addition, it was proven that population density can be used as a new property for LCZ type definition. As LCZ products are convenient to obtain, this work provides a simple, economical, and reliable population estimation method that can complement the traditional census.","['health', 'work', 'simple', 'proven', 'convenient', 'climate', 'method', 'local', 'lcz', 'campaigns', 'scale', 'robust', 'confirms', 'efficient', 'cities', 'high', 'traditional', 'effectiveness', 'census', 'resolution', 'density', 'maps', 'lczbased', 'type', 'zones', 'risk', 'products', 'exhibits', 'updatable', 'city', 'difficult', 'reliable', 'limitations', 'provides', 'respectively', 'addition', 'fit', 'values', 'types', 'units', 'applications', 'good', 'built', 'making', 'linkage', 'countylevel', 'fast', 'validated', 'directly', 'administrative', 'estimated', 'estimation', 'definition', 'totals', 'complement', 'obtain', 'precision', 'often', 'easily', 'faces', 'disaster', 'property', 'estimates', 'first', 'economical', 'new', 'public', 'population', 'critical', 'via', 'construct', 'fine']"
Urban Management in Authoritarian China: How the Smart City is Used to Enhance Comprehensive Law Enforcement,Tsai W.H.,Journal of Contemporary China,10.1080/10670564.2023.2251020,1,False,Academia Sinica Taiwan,Nankang,Taiwan,"‘Comprehensive law enforcement’ is an important part of the Chinese Communist Party’s (CCP’s) thinking on urban management. It involves all government departments and units related to law enforcement working together to improve their administrative efficiency. Since 2009, the CCP has absorbed some elements of the Western concept of the ‘smart city’, including the use of big data analysis and technology in implementing and enforcing the law. At the heart of the Chinese smart city is the ‘city brain’. For the CCP regime, the primary purpose of the smart city is to monitor society and improve the efficiency of urban management; making life more convenient for residents is a secondary consideration. In other words, this mechanism is strongly state led in nature, and it is aimed at ensuring the regime’s survival by strengthening the CCP’s capacity to govern. We found that due to incentives built into the cadre evaluation system, grassroots officials use the information gathered through smart city technology to achieve ‘hard’ law enforcement targets rather to improve people’s lives.","['important', 'peoples', 'heart', 'convenient', 'survival', 'govern', 'use', 'since', 'comprehensive', 'absorbed', 'management', 'together', 'words', 'involves', 'government', 'ccps', 'regime', 'strongly', 'life', 'improve', 'partys', 'incentives', 'including', 'found', 'nature', 'mechanism', 'city', 'due', 'rather', 'primary', 'regimes', 'achieve', 'hard', 'technology', 'enforcement', 'enforcing', 'officials', 'ccp', 'working', 'units', 'targets', 'aimed', 'built', 'making', 'western', 'lives', 'strengthening', 'system', 'led', 'monitor', 'communist', 'smart', 'purpose', 'grassroots', 'elements', 'consideration', 'administrative', 'cadre', 'chinese', 'implementing', 'part', 'capacity', 'society', 'concept', 'residents', 'law', 'departments', 'secondary', 'state', 'related', 'brain', 'ensuring', 'gathered', 'thinking', 'efficiency']"
Effects of planning variables on urban traffic noise at different scales,Song J.,Sustainable Cities and Society,10.1016/j.scs.2023.105006,7,False,Harbin Institute of Technology,Harbin,China,"This study examines the control of traffic noise in urban planning, considering the differences in noise impacts at various scales. Acoustic simulations and spatial statistics were employed to compare traditional planning variables and planning big data for noise analysis. The study investigates noise impact in urban centres and fringes and analyses varying effects of a given variable on traffic noise at scales of 300, 600, and 1200 m. Additionally, sound environment optimisation strategies are proposed and validated for different scales and areas. The major findings are: (1) planning big data had more impact in single-variable models, while traditional variables were more significant in multivariable models; (2) the noise impact of most variables varied with the area and scale, for example, at 1200 m, the total building perimeter has opposing effects in urban centres and fringes, and the greening rate changes from positive to negative with increasing scale; (3) the proposed strategies reduced traffic noise by an average of 4.2, 3.2, and 2.3 dB at scales of 300, 600, and 1200 m, respectively. These findings provide valuable insights for the optimisation of urban sound environments.","['insights', 'environments', 'optimisation', 'increasing', 'sound', 'building', 'control', 'average', 'proposed', 'opposing', 'scales', 'scale', 'investigates', 'fringes', 'greening', 'simulations', 'traditional', 'varying', 'strategies', 'variables', 'total', 'differences', 'db', 'rate', 'statistics', 'environment', 'employed', 'different', 'respectively', 'positive', 'reduced', 'examines', 'centres', 'traffic', 'validated', 'example', 'changes', 'significant', 'compare', 'valuable', 'variable', 'negative', 'noise', 'impacts', 'provide', 'effects', 'areas', 'considering', 'varied', 'perimeter', 'major', 'area', 'multivariable', 'singlevariable', 'models', 'various', 'given', 'analyses', 'acoustic', 'additionally']"
A spatial projection pursuit model for identifying comprehensive urban vitality on blocks using multisource geospatial data,Zhang Z.,Sustainable Cities and Society,10.1016/j.scs.2023.104998,7,False,Xi'an Shiyou University,Xi'an,China,"The vitality of city blocks is a crucial indicator of urban development, influenced by human activity, the built environment, and their interconnections. Urban vitality often exhibits agglomeration effects, whereas blocks nearby tend to exhibit similar vitality values. However, existing evaluation methods struggle to effectively account for the spatial correlations among block vitality while simultaneously assessing comprehensive vitality from multiple perspectives. Using Chongqing as a study case, we use multisource geospatial big data to explore the spatial pattern of city block vitality by using a multiobjective optimization spatial projection pursuit model (MOO-SPP). Five dimensions of vitality were conducted and projected into a comprehensive vitality. The results show that (1) the city proper of Chongqing exhibited a ""multicenter and multigroup"" vitality pattern in terms of comprehensive vitality, and new areas foster several peaks of urban vitality; (2) the spatial distribution of the single-dimensional vitality varies, and enhancing transportation accessibility in the new areas is of utmost importance; (3) there are spatial variation in urban vitality among the districts and blocks, which are influenced by urban form and city polices. This study can provide insights to stakeholders in better understanding the spatial patterns and factors influencing multidimensional block vitality.","['insights', 'pattern', 'utmost', 'multiple', 'correlations', 'distribution', 'simultaneously', 'varies', 'projection', 'exhibits', 'transportation', 'environment', 'districts', 'variation', 'agglomeration', 'effects', 'factors', 'account', 'pursuit', 'blocks', 'nearby', 'interconnections', 'comprehensive', 'projected', 'singledimensional', 'multicenter', 'indicator', 'crucial', 'terms', 'several', 'chongqing', 'human', 'among', 'use', 'effectively', 'multisource', 'block', 'influenced', 'patterns', 'struggle', 'city', 'importance', 'accessibility', 'peaks', 'form', 'show', 'stakeholders', 'polices', 'whereas', 'moospp', 'often', 'exhibited', 'areas', 'geospatial', 'multigroup', 'existing', 'similar', 'case', 'explore', 'assessing', 'exhibit', 'dimensions', 'tend', 'influencing', 'multiobjective', 'vitality', 'enhancing', 'perspectives', 'values', 'five', 'foster', 'multidimensional', 'built', 'better', 'activity', 'provide', 'proper', 'optimization', 'new', 'conducted']"
Exploiting satellite SAR for archaeological prospection and heritage site protection,Cigna F.,Geo-Spatial Information Science,10.1080/10095020.2023.2223603,7,True,Consiglio Nazionale delle Ricerche,Rome,Italy,"Optical and Synthetic Aperture Radar (SAR) remote sensing has a long history of use and reached a good level of maturity in archaeological and cultural heritage applications, yet further advances are viable through the exploitation of novel sensor data and imaging modes, big data and high-performance computing, advanced and automated analysis methods. This paper showcases the main research avenues in this field, with a focus on archaeological prospection and heritage site protection. Six demonstration use-cases with a wealth of heritage asset types (e.g. excavated and still buried archaeological features, standing monuments, natural reserves, burial mounds, paleo-channels) and respective scientific research objectives are presented: the Ostia-Portus area and the wider Province of Rome (Italy), the city of Wuhan and the Jiuzhaigou National Park (China), and the Siberian “Valley of the Kings” (Russia). Input data encompass both archive and newly tasked medium to very high-resolution imagery acquired over the last decade from satellite (e.g. Copernicus Sentinels and ESA Third Party Missions) and aerial (e.g. Unmanned Aerial Vehicles, UAV) platforms, as well as field-based evidence and ground truth, auxiliary topographic data, Digital Elevation Models (DEM), and monitoring data from geodetic campaigns and networks. The novel results achieved for the use-cases contribute to the discussion on the advantages and limitations of optical and SAR-based archaeological and heritage applications aimed to detect buried and sub-surface archaeological assets across rural and semi-vegetated landscapes, identify threats to cultural heritage assets due to ground instability and urban development in large metropolises, and monitor post-disaster impacts in natural reserves.","['identify', 'missions', 'postdisaster', 'archive', 'campaigns', 'truth', 'yet', 'remote', 'wealth', 'sar', 'exploitation', 'rural', 'maturity', 'applications', 'kings', 'jiuzhaigou', 'highresolution', 'features', 'still', 'fieldbased', 'wuhan', 'esa', 'sensor', 'decade', 'area', 'third', 'sensing', 'respective', 'wider', 'history', 'monuments', 'automated', 'objectives', 'assets', 'imagery', 'valley', 'metropolises', 'discussion', 'elevation', 'advances', 'asset', 'last', 'rome', 'detect', 'protection', 'viable', 'good', 'aimed', 'six', 'synthetic', 'reserves', 'encompass', 'auxiliary', 'digital', 'italy', 'sentinels', 'advantages', 'level', 'usecases', 'buried', 'computing', 'copernicus', 'aperture', 'novel', 'natural', 'uav', 'standing', 'presented', 'paleochannels', 'use', 'burial', 'showcases', 'tasked', 'well', 'cultural', 'siberian', 'field', 'province', 'acquired', 'city', 'prospection', 'imaging', 'types', 'main', 'monitoring', 'ostiaportus', 'mounds', 'monitor', 'geodetic', 'heritage', 'sarbased', 'highperformance', 'party', 'scientific', 'aerial', 'models', 'input', 'vehicles', 'modes', 'russia', 'contribute', 'reached', 'demonstration', 'newly', 'topographic', 'radar', 'achieved', 'park', 'unmanned', 'advanced', 'across', 'optical', 'site', 'due', 'limitations', 'avenues', 'long', 'semivegetated', 'medium', 'national', 'satellite', 'ground', 'landscapes', 'eg', 'impacts', 'subsurface', 'instability', 'threats', 'excavated', 'archaeological', 'large', 'platforms', 'focus', 'networks', 'dem']"
"Evaluating the impact of road network configuration on hotel layout based on big data, GIS and space syntax–evidence from Shanghai",Fan W.,Current Issues in Tourism,10.1080/13683500.2023.2184680,1,False,Shandong Jianzhu University,Jinan,China,"Understanding the impact of road network configuration, traffic stations and people flow factors on hotel layout can provide a scientific evidence for the spatial planning of hotels and other service industries. Based on multiple geographic big data, this study uses space syntax and Geographic Information System (GIS) to explore the impact of road network on the spatial layout of hotels with varying grades. Results show that low-end hotels are most affected by road network configurations; this is followed by mid-range hotels, and then by high-end hotels; high-end hotels are mostly located in the areas with high accessibility to the road network, while the mid-range and low-end hotels are mostly distributed near areas with strong traffic carrying capacity and attractiveness. Furthermore, traffic stations and people flow also have substantial impact on the spatial distribution of hotels, with the low-end hotels being most affected and the high-end hotels being least affected. Our findings provide several important implications for the spatial planning of hotels in the rapidly developing tourism industry.","['followed', 'important', 'explore', 'developing', 'located', 'syntax', 'multiple', 'affected', 'network', 'distribution', 'flow', 'high', 'varying', 'configurations', 'strong', 'industries', 'highend', 'accessibility', 'carrying', 'grades', 'hotels', 'lowend', 'stations', 'least', 'industry', 'service', 'gis', 'mostly', 'show', 'near', 'furthermore', 'road', 'traffic', 'people', 'geographic', 'system', 'implications', 'several', 'configuration', 'hotel', 'midrange', 'rapidly', 'provide', 'areas', 'capacity', 'substantial', 'tourism', 'space', 'uses', 'scientific', 'distributed', 'attractiveness', 'layout', 'factors']"
