dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract,processedAbstract_str
Spatiotemporal exploration of chinese spring festival population flow patterns and their determinants based on spatial interaction model,Zhou T.,ISPRS International Journal of Geo-Information,10.3390/ijgi9110670,15,True,Southwest Jiaotong University,Chengdu,China,"Large-scale population flow reshapes the economic landscape and is affected by unbalanced urban development. The exploration of migration patterns and their determinants is therefore crucial to reveal unbalanced urban development. However, low-resolution migration datasets and insufficient consideration of interactive differences have limited such exploration. Accordingly, based on 2019 Chinese Spring Festival travel-related big data from the AMAP platform, we used social network analysis (SNA) methods to accurately reveal population flow patterns. Then, with consideration of the spatial heterogeneity of interactive patterns, we used spatially weighted interactive models (SWIMs), which were improved by the incorporation of weightings into the global Poisson gravity model, to efficiently quantify the effect of socioeconomic factors on migration patterns. These SWIMs generated the local characteristics of the interactions and quantified results that were more regionally consistent than those generated by other spatial interaction models. The migration patterns had a spatially vertical structure, with the city development level being highly consistent with the flow intensity; for example, the first-level developments of Beijing, Shanghai, Chengdu, Guangzhou, Shenzhen, and Chongqing occupied a core position. A spatially horizontal structure was also formed, comprising 16 closely related city communities. Moreover, the quantified impact results indicated that migration pattern variation was significantly related to the population, value-added primary and secondary industry, the average wage, foreign capital, pension insurance, and certain aspects of unbalanced urban development. These findings can help policymakers to guide population migration, rationally allocate industrial infrastructure, and balance urban development.","['intensity', 'sna', 'quantify', 'interaction', 'chongqing', 'economic', 'core', 'result', 'used', 'insurance', 'travelrelated', 'incorporation', 'pattern', 'chengdu', 'capital', 'exploration', 'platform', 'policymakers', 'weighting', 'model', 'interactive', 'structure', 'formed', 'development', 'flow', 'horizontal', 'migration', 'amap', 'poisson', 'example', 'spring', 'reveal', 'significantly', 'festival', 'level', 'based', 'moreover', 'foreign', 'pattern', 'industrial', 'consideration', 'valueadded', 'balance', 'allocate', 'heterogeneity', 'consistent', 'accurately', 'indicated', 'rationally', 'weighted', 'chinese', 'analysis', 'factor', 'gravity', 'unbalanced', 'population', 'firstlevel', 'comprising', 'affected', 'also', 'local', 'datasets', 'spatially', 'vertical', 'characteristic', 'shenzhen', 'closely', 'interaction', 'aspect', 'generated', 'efficiently', 'limited', 'primary', 'wage', 'however', 'average', 'model', 'data', 'network', 'variation', 'urban', 'help', 'social', 'crucial', 'impact', 'pension', 'improved', 'lowresolution', 'spatial', 'quantified', 'largescale', 'determinant', 'insufficient', 'global', 'method', 'certain', 'industry', 'community', 'guangzhou', 'occupied', 'secondary', 'infrastructure', 'guide', 'accordingly', 'finding', 'regionally', 'big', 'shanghai', 'development', 'therefore', 'socioeconomic', 'swim', 'difference', 'highly', 'position', 'effect', 'landscape', 'city', 'related', 'reshapes', 'beijing']",intensity sna quantify interaction chongqing economic core result used insurance travelrelated incorporation pattern chengdu capital exploration platform policymakers weighting model interactive structure formed development flow horizontal migration amap poisson example spring reveal significantly festival level based moreover foreign pattern industrial consideration valueadded balance allocate heterogeneity consistent accurately indicated rationally weighted chinese analysis factor gravity unbalanced population firstlevel comprising affected also local datasets spatially vertical characteristic shenzhen closely interaction aspect generated efficiently limited primary wage however average model data network variation urban help social crucial impact pension improved lowresolution spatial quantified largescale determinant insufficient global method certain industry community guangzhou occupied secondary infrastructure guide accordingly finding regionally big shanghai development therefore socioeconomic swim difference highly position effect landscape city related reshapes beijing
"Data-driven framework for delineating urban population dynamic patterns: Case study on Xiamen Island, China",Fang L.,Sustainable Cities and Society,10.1016/j.scs.2020.102365,31,False,Xiamen University of Technology,Xiamen,China,"The effective data mining of social media has become increasingly recognized for its value in informing decision makers of public welfare. However, existing studies do not fully exploit the underlying merit of big data. In this study, we develop a data-driven framework that integrates machine learning with spatial statistics, and then use it on Xiamen Island, China to delineate urban population dynamic patterns based on hourly Baidu heat map data collected from August 25 to September 3, 2017. The results showed that hot grids are primarily clustered along the main street through the downtown area during working days, whereas cold grids are often observed at the edge of the city during the weekend. The mixed use (of commercial and life services, restaurants and snack bars, offices, leisure areas and sports complexes) is the most significant contributing factor. A new cold grid emerged near conference venues before the Brazil, Russia, India, China, and South Africa Summit, revealing the strong effects of regulations on population dynamics and its evolving patterns. This study demonstrates that the proposed data-driven framework might offer new insights into urban population dynamics and its driving mechanism in support of sustainable urban development.","['recognized', 'along', 'result', 'day', 'value', 'pattern', 'insight', 'grid', 'significant', 'map', 'informing', 'venue', 'proposed', 'showed', 'support', 'learning', 'factor', 'machine', 'area', 'brazil', 'welfare', 'mining', 'conference', 'based', 'leisure', 'integrates', 'august', 'near', 'life', 'exploit', 'underlying', 'street', 'africa', 'edge', 'hourly', 'contributing', 'commercial', 'evolving', 'sustainable', 'statistic', 'grid', 'mechanism', 'office', 'dynamic', 'use', 'population', 'clustered', 'india', 'downtown', 'study', 'maker', 'baidu', 'main', 'existing', 'medium', 'working', 'become', 'service', 'delineate', 'summit', 'september', 'sport', 'area', 'russia', 'however', 'china', 'data', 'decision', 'demonstrates', 'urban', 'public', 'strong', 'social', 'new', 'collected', 'primarily', 'develop', 'weekend', 'spatial', 'regulation', 'observed', 'xiamen', 'framework', 'effective', 'increasingly', 'island', 'complex', 'mixed', 'revealing', 'restaurant', 'emerged', 'south', 'driving', 'effect', 'cold', 'datadriven', 'hot', 'merit', 'snack', 'bar', 'big', 'development', 'often', 'fully', 'whereas', 'might', 'city', 'study', 'dynamic', 'heat', 'offer']",recognized along result day value pattern insight grid significant map informing venue proposed showed support learning factor machine area brazil welfare mining conference based leisure integrates august near life exploit underlying street africa edge hourly contributing commercial evolving sustainable statistic grid mechanism office dynamic use population clustered india downtown study maker baidu main existing medium working become service delineate summit september sport area russia however china data decision demonstrates urban public strong social new collected primarily develop weekend spatial regulation observed xiamen framework effective increasingly island complex mixed revealing restaurant emerged south driving effect cold datadriven hot merit snack bar big development often fully whereas might city study dynamic heat offer
Evaluating and characterizing urban vibrancy using spatial big data: Shanghai as a case study,Huang B.,Environment and Planning B: Urban Analytics and City Science,10.1177/2399808319828730,113,False,Chinese University of Hong Kong,Hong Kong,Hong Kong,"Although people may recognize urban vibrancy when they see or sense it, developing direct and comprehensive measures of urban vibrancy remains a challenge. In the context of intense global competition, there is an increased realization that urban vibrancy is vital to the social and economic sustainability of cities. Such vibrancy may be significantly shaped by the urban built environment, yet we know little about the close connections between vibrancy and urban built environments. Empowered by newly available sources of spatial big data, which provide enormous amounts of information on both human dynamics and the built environment, this paper proposes a framework for evaluating and characterizing urban vibrancy. Thus far, vibrancy measures have mostly used single-source data that hardly reflect the multifaceted manifestations of urban vibrancy. Therefore, we propose a more comprehensive measure of urban vibrancy, extracted as the common latent factor from multiple surface attributes. Using the proposed framework, we evaluated and mapped the spatial dynamics of vibrancy in Shanghai, a typical large city in post-reform China, and investigated the associations between vibrancy and various urban built environment indicators. The evidence shows that the horizontal built-up density, rather than vertical height, is the leading generator of vibrancy in Shanghai, followed by the density and mixture of urban functions, accessibility, and walkability. In this vein, we contribute to current debates and future planning practices regarding vibrant spaces in large cities. This proposed evaluation framework, equipped with spatial big data, can benefit future urban studies.","['recognize', 'information', 'sustainability', 'economic', 'direct', 'context', 'used', 'may', 'benefit', 'know', 'available', 'various', 'extracted', 'environment', 'close', 'see', 'proposed', 'vibrant', 'horizontal', 'evaluated', 'intense', 'walkability', 'city', 'developing', 'latent', 'factor', 'typical', 'empowered', 'yet', 'future', 'environment', 'leading', 'proposes', 'significantly', 'surface', 'measure', 'increased', 'shaped', 'enormous', 'indicator', 'mixture', 'debate', 'evaluating', 'hardly', 'challenge', 'mostly', 'using', 'regarding', 'space', 'density', 'contribute', 'height', 'rather', 'practice', 'provide', 'newly', 'mapped', 'builtup', 'show', 'evaluation', 'study', 'vibrancy', 'planning', 'competition', 'vertical', 'singlesource', 'reflect', 'little', 'realization', 'source', 'multifaceted', 'vital', 'thus', 'comprehensive', 'large', 'china', 'postreform', 'data', 'urban', 'remains', 'social', 'multiple', 'vein', 'association', 'measure', 'human', 'spatial', 'built', 'propose', 'accessibility', 'framework', 'sense', 'global', 'manifestation', 'current', 'attribute', 'characterizing', 'people', 'investigated', 'big', 'shanghai', 'therefore', 'generator', 'evidence', 'equipped', 'amount', 'far', 'connection', 'followed', 'paper', 'function', 'city', 'dynamic', 'although', 'common']",recognize information sustainability economic direct context used may benefit know available various extracted environment close see proposed vibrant horizontal evaluated intense walkability city developing latent factor typical empowered yet future environment leading proposes significantly surface measure increased shaped enormous indicator mixture debate evaluating hardly challenge mostly using regarding space density contribute height rather practice provide newly mapped builtup show evaluation study vibrancy planning competition vertical singlesource reflect little realization source multifaceted vital thus comprehensive large china postreform data urban remains social multiple vein association measure human spatial built propose accessibility framework sense global manifestation current attribute characterizing people investigated big shanghai therefore generator evidence equipped amount far connection followed paper function city dynamic although common
Urban modeling for streets using vector cellular automata: Framework and its application in Beijing,Jia Z.,Environment and Planning B: Urban Analytics and City Science,10.1177/2399808320942777,7,False,Tsinghua University,Beijing,China,"Zones, cells, and parcels have long been regarded as the main units of analysis in urban modeling. However, only limited attention has been paid to street-level urban modeling. The emergence of fine-scale open and new data available from various sources has created substantial opportunities for research on urban modeling at the street level, particularly for modeling the spatiotemporal process of urban phenomena. In this paper, the street is adopted as the spatial unit of an urban model, and a conceptual framework for such modeling based on cellular automata is proposed. The validity of the proposed framework is verified by an empirical application to the urban space within the Fifth Ring Road in Beijing from 2014 to 2018. The results show that the density of points of interest simulated by the cellular automata model for 2018 is basically consistent with the actual distribution according to direct observation, and there is no significant difference in the proportion of high, medium, and low points of interest density streets between different ring roads. In addition, the deviation rate and Kappa index are 0.1171 and 0.97, respectively, indicating the proposed model can replicate historical patterns well and predict the transition of points of interest density at the street level. Subsequently, we considered three scenarios, adopting 2018 as the base year and using the proposed model to simulate the distribution of points of interest density in 2022 and the changes in points of interest density from 2018 to 2022. The conceptual framework and empirical application also provide support for urban planning and design based on the integration of linear public space and big data.","['space', 'direct', 'conceptual', 'application', 'streetlevel', 'result', 'opportunity', 'unit', 'pattern', 'simulate', 'basically', 'research', 'well', 'deviation', 'available', 'road', 'fifth', 'cell', 'various', 'model', 'significant', 'within', 'proposed', 'support', 'respectively', 'validity', 'high', 'base', 'long', 'process', 'predict', 'level', 'street', 'based', 'emergence', 'verified', 'empirical', 'finescale', 'modeling', 'linear', 'zone', 'kappa', 'street', 'consistent', 'using', 'low', 'road', 'medium', 'density', 'year', 'replicate', 'analysis', 'observation', 'difference', 'provide', 'according', 'attention', 'also', 'actual', 'main', 'planning', 'addition', 'particularly', 'created', 'source', 'proportion', 'cellular', 'limited', 'subsequently', 'integration', 'however', 'substantial', 'data', 'urban', 'automaton', 'spatiotemporal', 'public', 'simulated', 'new', 'design', 'transition', 'adopted', 'spatial', 'framework', 'ring', 'change', 'open', 'three', 'considered', 'adopting', 'index', 'paid', 'different', 'parcel', 'interest', 'historical', 'regarded', 'big', 'show', 'scenario', 'point', 'phenomenon', 'distribution', 'unit', 'indicating', 'paper', 'rate', 'beijing']",space direct conceptual application streetlevel result opportunity unit pattern simulate basically research well deviation available road fifth cell various model significant within proposed support respectively validity high base long process predict level street based emergence verified empirical finescale modeling linear zone kappa street consistent using low road medium density year replicate analysis observation difference provide according attention also actual main planning addition particularly created source proportion cellular limited subsequently integration however substantial data urban automaton spatiotemporal public simulated new design transition adopted spatial framework ring change open three considered adopting index paid different parcel interest historical regarded big show scenario point phenomenon distribution unit indicating paper rate beijing
A novel community-based trust aware recommender systems for big data cloud service networks,Deebak B.D.,Sustainable Cities and Society,10.1016/j.scs.2020.102274,40,False,Vellore Institute of Technology,Vellore,India,"Internet of Things (IoT) has enhanced the appearance of the information and communications technology (ICT) infrastructure of smart sustainable cities that emerge as a growth of the urban development. The potential growth of environment sustainabilities is coming into the existence of the insightful visions of ICT that include big data analytics as a computing prototype. It may draw a penetrative path to mitigate the environmental effects that utilize the natural resource to manage the intelligent infrastructure and services. Moreover, the sustainable development process plays a crucial role to catalyze IoT and big-data application that connects the economic growth with the quality of smart cities. The IoT-enabled big-data applications choose a suitable thematic analysis to direct the use of recommendation systems. It supports users in the irresistible task of examination through large quantities of data in order to select appropriate information or items. Traditional recommender systems rely on similar neighbors irrespective of their preferences/choices when computing the prediction and assuming the users to be autonomous and indistinguishable to disregard the social events between the social users which are highly not reliable. Based on this intuition in this framework, the architecture of community-based trust aware recommender systems (CB-TARS) is proposed. Users’ preferences are expressed by incorporating trusted neighbors within the community of the target user are merged in order to find similar preferences. In addition, the worth of merged ratings is measured by the confidence considering the number of ratings inside the community and the percentage of clashes between negative and positive views. Further, rating confidence is incorporated into the computation of user similarity. The prediction for an unrated item is computed by aggregating the ratings of similar users within the community. Experimental results on real-world data set validate that the proposed method surpasses other complements in terms of accuracy.","['quality', 'include', 'information', 'sustainability', 'environmental', 'economic', 'computing', 'direct', 'application', 'result', 'role', 'may', 'reliable', 'computed', 'prediction', 'indistinguishable', 'find', 'recommender', 'connects', 'preferenceschoices', 'accuracy', 'communication', 'appearance', 'number', 'user', 'within', 'proposed', 'similarity', 'existence', 'communitybased', 'internet', 'percentage', 'city', 'target', 'confidence', 'negative', 'clash', 'analytics', 'environment', 'rating', 'process', 'autonomous', 'validate', 'potential', 'application', 'complement', 'based', 'measured', 'ict', 'surpasses', 'draw', 'term', 'event', 'enhanced', 'moreover', 'catalyze', 'vision', 'prototype', 'cbtars', 'intuition', 'natural', 'iotenabled', 'neighbor', 'sustainable', 'preference', 'set', 'bigdata', 'disregard', 'expressed', 'system', 'analysis', 'technology', 'utilize', 'positive', 'recommendation', 'use', 'thing', 'traditional', 'insightful', 'item', 'coming', 'order', 'realworld', 'service', 'assuming', 'addition', 'computation', 'architecture', 'intelligent', 'smart', 'merged', 'view', 'large', 'emerge', 'play', 'data', 'growth', 'choose', 'urban', 'penetrative', 'inside', 'social', 'crucial', 'rating', 'appropriate', 'select', 'irresistible', 'trusted', 'worth', 'experimental', 'rely', 'framework', 'task', 'user', 'support', 'considering', 'suitable', 'incorporating', 'community', 'path', 'effect', 'infrastructure', 'resource', 'mitigate', 'item', 'iot', 'aware', 'big', 'incorporated', 'method', 'development', 'similar', 'trust', 'aggregating', 'examination', 'thematic', 'quantity', 'highly', 'manage', 'irrespective', 'unrated']",quality include information sustainability environmental economic computing direct application result role may reliable computed prediction indistinguishable find recommender connects preferenceschoices accuracy communication appearance number user within proposed similarity existence communitybased internet percentage city target confidence negative clash analytics environment rating process autonomous validate potential application complement based measured ict surpasses draw term event enhanced moreover catalyze vision prototype cbtars intuition natural iotenabled neighbor sustainable preference set bigdata disregard expressed system analysis technology utilize positive recommendation use thing traditional insightful item coming order realworld service assuming addition computation architecture intelligent smart merged view large emerge play data growth choose urban penetrative inside social crucial rating appropriate select irresistible trusted worth experimental rely framework task user support considering suitable incorporating community path effect infrastructure resource mitigate item iot aware big incorporated method development similar trust aggregating examination thematic quantity highly manage irrespective unrated
What is the developmental level of outlying expansion patches? A study of 275 Chinese cities using geographical big data,He Q.,Cities,10.1016/j.cities.2019.102395,19,False,Huazhong University of Science and Technology,Wuhan,China,"New outlying development zones are a common phenomenon in the development of Chinese cities, and exploring their development level is a matter of great interest. Using geographic big data that cover the entire country, this paper analyzes the urban development level (UDL) of newly added outlying patches within 275 cities at the prefecture level or above in China from 2005 to 2015. The results revealed the following. 1) High-value cities are primarily located in the east, whereas low-value cities are primarily located in the west. The Beijing-Tianjin-Hebei urban agglomeration (BTHUA) is a major area with low UDLs, whereas the Yangtze River Delta urban agglomeration (YRDUA) and the Pearl River Delta urban agglomeration (PRDUA) are major areas with high UDLs. 2) The results of a multivariate regression demonstrate that GDP per capita (GDPPC), average elevation (AE), the distance between the new outlying urban patches, the proportion of secondary industry in GDP (PSI), the average land price in the city (ALP), the original urban land areas (DIS), and economic balance (GDPSD) significantly affect the UDL values of these cities. Relatively higher GDPPC and ALP are associated with a significant increase in the UDL, while more AE, DIS, GDPSD and PSI will decrease the UDL. The results of this paper provide a reference to understand the conditions of outlying developmental zones in China over the past 10 years as well as to explore healthy and reasonable urban spatial expansion forms.","['prefecture', 'economic', 'pearl', 'result', 'reference', 'cover', 'major', 'caput', 'well', 'value', 'regression', 'per', 'form', 'significant', 'year', 'within', 'city', 'udls', 'high', 'udl', 'gdpsd', 'condition', 'analyzes', 'gdp', 'area', 'expansion', 'original', 'significantly', 'level', 'increase', 'ae', 'balance', 'zone', 'decrease', 'multivariate', 'using', 'low', 'revealed', 'west', 'prdua', 'chinese', 'patch', 'understand', 'phenomenon', 'provide', 'newly', 'entire', 'demonstrate', 'added', 'dis', 'relatively', 'delta', 'proportion', 'associated', 'great', 'bthua', 'yrdua', 'area', 'average', 'following', 'china', 'yangtze', 'elevation', 'data', 'urban', 'higher', 'alp', 'beijingtianjinhebei', 'explore', 'new', 'primarily', 'past', 'price', 'spatial', 'geographic', 'land', 'gdppc', 'agglomeration', 'psi', 'industry', 'distance', 'east', 'reasonable', 'lowvalue', 'located', 'highvalue', 'country', 'secondary', 'healthy', 'interest', 'exploring', 'big', 'development', 'matter', 'whereas', 'river', 'outlying', 'paper', 'city', 'affect', 'developmental', 'common']",prefecture economic pearl result reference cover major caput well value regression per form significant year within city udls high udl gdpsd condition analyzes gdp area expansion original significantly level increase ae balance zone decrease multivariate using low revealed west prdua chinese patch understand phenomenon provide newly entire demonstrate added dis relatively delta proportion associated great bthua yrdua area average following china yangtze elevation data urban higher alp beijingtianjinhebei explore new primarily past price spatial geographic land gdppc agglomeration psi industry distance east reasonable lowvalue located highvalue country secondary healthy interest exploring big development matter whereas river outlying paper city affect developmental common
Deciphering the spatial structure of China's megacity region: A new bay area—The Guangdong-Hong Kong-Macao Greater Bay Area in the making,Hui E.C.M.,Cities,10.1016/j.cities.2018.10.011,187,False,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,"In 2015, the China State Council in its 13th Five-Year Plan for Economic and Social Development strategically initiated the Guangdong-Hong Kong-Macau Greater Bay Area, with emphasis on strengthening its role in economic development and its powerful synergy with the all-important The Belt and Road Initiative (BRI) in the country and globally. The Greater Bay Area is a unique mega city region situated at the Pearl River Delta, covering the 11 [9 mainland cities +2 special administrative regions (Hong Kong and Macau)] cities. However, few studies examined the bay area under a unique institutional and economic context. This study aims to examine regional integration and spatial connection that affect the growth and success of the megacity region using network analysis. Particularly, it analyzed the centrality of human movements, traffic flow and railway network through visualization of the results from Tencent (QQ) Location Big Data, railway service and census data. The study reveals that the vital contributor to the formation and success of the Greater Bay Area is its rapid growth of transport infrastructure and capacities, particularly high-speed railway, promoting free flowing of the key factors. Strong spatial and transport connection critically harness regional integration and boosting viable development of the Greater Bay Area. Guangzhou-Shenzhen-Hong Kong has shaped a triangle structure. The findings provide planning recommendation and policy implications for city planners and policy makers for regional governance and cooperation in mainland China, Hong Kong and worldwide.","['triangle', 'highspeed', 'success', 'strengthening', 'economic', 'context', 'pearl', 'result', 'reveals', 'role', 'kongmacau', 'formation', 'special', 'mega', 'initiative', 'centrality', 'rapid', 'initiated', 'road', 'structure', 'census', 'flow', 'megacity', 'region', 'harness', 'boosting', 'mainland', 'railway', 'service', 'covering', 'city', 'movement', 'emphasis', 'area', 'institutional', 'bri', 'allimportant', 'synergy', 'shaped', 'tencent', 'location', 'globally', 'using', 'cooperation', 'bay', 'guangzhoushenzhenhong', 'region', 'powerful', 'policy', 'critically', 'connection', 'planner', 'analysis', 'factor', 'recommendation', 'visualization', 'provide', 'plan', 'fiveyear', 'key', 'study', 'maker', 'examined', 'planning', 'contributor', 'unique', 'belt', 'council', 'particularly', 'traffic', 'delta', 'macau', 'vital', 'administrative', 'integration', 'however', 'transport', 'china', 'network', 'growth', 'data', 'examine', 'free', 'strong', 'social', 'hong', 'implication', 'capacity', 'human', 'analyzed', 'spatial', 'regional', 'viable', 'worldwide', 'governance', 'kong', 'situated', 'infrastructure', 'country', 'flowing', 'qq', 'finding', 'state', 'big', 'development', 'guangdonghong', 'river', 'strategically', 'city', 'greater', 'study', 'affect', 'promoting', 'aim']",triangle highspeed success strengthening economic context pearl result reveals role kongmacau formation special mega initiative centrality rapid initiated road structure census flow megacity region harness boosting mainland railway service covering city movement emphasis area institutional bri allimportant synergy shaped tencent location globally using cooperation bay guangzhoushenzhenhong region powerful policy critically connection planner analysis factor recommendation visualization provide plan fiveyear key study maker examined planning contributor unique belt council particularly traffic delta macau vital administrative integration however transport china network growth data examine free strong social hong implication capacity human analyzed spatial regional viable worldwide governance kong situated infrastructure country flowing qq finding state big development guangdonghong river strategically city greater study affect promoting aim
"Disruptive technology, legal innovation, and the future of real estate",Lehavi A.,"Disruptive Technology, Legal Innovation, and the Future of Real Estate",10.1007/978-3-030-52387-9,3,False,Reichman University,Herzliya,Israel,"This book addresses challenges that new technologies and the big data revolution pose to existing regulatory and legal frameworks. The volume discusses issues such as blockchain and its implications for property transactions and taxes, three (or four) dimensional title registration, land use and urban planning in the age of big data, and the future of property rights in light of these changes. The book brings together an interdisciplinary collection of chapters that revolve around the potential influence of disruptive technologies on existing legal norms and the future development of real estate markets. The book is divided into five parts. Part I presents a survey of the current available research on blockchain and real estate. Part II provides a background on property law for the volume, grounding it in fundamental theory. Part III discusses the changing landscapes of property rights while Part IV debates the potential effects of blockchain on land registration. Finally the book concludes with Part V, which is devoted to new technological applications relevant to real estate. Providing an interdisciplinary perspective on emerging technologies that have the potential to disrupt the real estate industry and the regulation of it, this book will appeal to a broad audience, consisting of scholars, policy-makers, practitioners, and students, interested in real estate, law, economics, blockchain, and technology policy.","['audience', 'volume', 'legal', 'revolution', 'discusses', 'real', 'regulation', 'collection', 'disrupt', 'policymakers', 'pose', 'challenge', 'research', 'estate', 'available', 'issue', 'changing', 'provides', 'dimensional', 'perspective', 'blockchain', 'survey', 'title', 'background', 'regulatory', 'around', 'future', 'economics', 'concludes', 'interdisciplinary', 'potential', 'iii', 'application', 'iv', 'revolve', 'grounding', 'book', 'relevant', 'debate', 'market', 'law', 'framework', 'brings', 'part', 'technology', 'policy', 'norm', 'divided', 'finally', 'technology', 'use', 'interested', 'disruptive', 'practitioner', 'student', 'fundamental', 'present', 'scholar', 'planning', 'existing', 'technological', 'transaction', 'influence', 'address', 'right', 'four', 'data', 'providing', 'urban', 'five', 'devoted', 'age', 'v', 'new', 'implication', 'light', 'land', 'industry', 'change', 'current', 'appeal', 'emerging', 'registration', 'three', 'together', 'effect', 'chapter', 'property', 'tax', 'big', 'development', 'theory', 'landscape', 'part', 'ii', 'consisting', 'broad']",audience volume legal revolution discusses real regulation collection disrupt policymakers pose challenge research estate available issue changing provides dimensional perspective blockchain survey title background regulatory around future economics concludes interdisciplinary potential iii application iv revolve grounding book relevant debate market law framework brings part technology policy norm divided finally technology use interested disruptive practitioner student fundamental present scholar planning existing technological transaction influence address right four data providing urban five devoted age v new implication light land industry change current appeal emerging registration three together effect chapter property tax big development theory landscape part ii consisting broad
Energy use in cities: A roadmap for urban transitions,Pincetl S.,Energy Use in Cities: A Roadmap for Urban Transitions,10.1007/978-3-030-55601-3,3,False,"University of California, Los Angeles",Los Angeles,United States,"In an era of big data and smart cities, this book is an innovative and creative contribution to our understanding of urban energy use. Societies have basic data needs to develop an understanding of energy flows for planning energy sustainability. However, this data is often either not utilized or not available. Using California as an example, the book provides a roadmap for using data to reduce urban greenhouse gas emissions by targeting programs and initiatives that will successfully and parsimoniously improve building performance while taking into account issues of energy affordability. This first of its kind methodology maps high-detail building energy use to understand patterns of consumption across buildings, neighborhoods, and socioeconomic divisions in megacities. The book then details the steps required to replicate this methodology elsewhere, and shows the importance of openly-accessible building energy data for transitioning cities to meet the climate planning goals of the twenty-first century. It also explains why actual data, not modeled or sampled, is critical for accurate analysis and insights. Finally, it acknowledges the complex institutional context for this work and some of the obstacles - utility reluctance, public agency oversight, funding and path dependencies. This book will be of great value to scholars across the environmental sectors, but especially to those studying sustainable urban energy as well as practitioners and policy makers in these areas.","['sustainability', 'environmental', 'context', 'explains', 'targeting', 'goal', 'reluctance', 'energy', 'value', 'pattern', 'modeled', 'critical', 'insight', 'step', 'especially', 'well', 'available', 'issue', 'obstacle', 'performance', 'detail', 'provides', 'parsimoniously', 'reduce', 'improve', 'studying', 'megacities', 'transitioning', 'affordability', 'city', 'example', 'work', 'methodology', 'consumption', 'highdetail', 'importance', 'building', 'first', 'institutional', 'agency', 'roadmap', 'basic', 'book', 'emission', 'elsewhere', 'building', 'neighborhood', 'using', 'gas', 'sustainable', 'policy', 'flow', 'california', 'finally', 'replicate', 'analysis', 'use', 'funding', 'understand', 'society', 'practitioner', 'show', 'also', 'actual', 'maker', 'greenhouse', 'meet', 'scholar', 'taking', 'planning', 'understanding', 'smart', 'dependency', 'great', 'innovative', 'sampled', 'area', 'however', 'data', 'creative', 'urban', 'public', 'either', 'era', 'develop', 'twentyfirst', 'kind', 'program', 'utility', 'successfully', 'account', 'map', 'century', 'initiative', 'path', 'complex', 'contribution', 'openlyaccessible', 'sector', 'climate', 'big', 'socioeconomic', 'often', 'across', 'required', 'oversight', 'division', 'need', 'accurate', 'utilized', 'acknowledges']",sustainability environmental context explains targeting goal reluctance energy value pattern modeled critical insight step especially well available issue obstacle performance detail provides parsimoniously reduce improve studying megacities transitioning affordability city example work methodology consumption highdetail importance building first institutional agency roadmap basic book emission elsewhere building neighborhood using gas sustainable policy flow california finally replicate analysis use funding understand society practitioner show also actual maker greenhouse meet scholar taking planning understanding smart dependency great innovative sampled area however data creative urban public either era develop twentyfirst kind program utility successfully account map century initiative path complex contribution openlyaccessible sector climate big socioeconomic often across required oversight division need accurate utilized acknowledges
Core technology of smart cities,Zhou L.,AI-Based Services for Smart Cities and Urban Infrastructure,10.4018/978-1-7998-5024-3.ch003,1,False,Shanghai University,Shanghai,China,"Modern cities are in an era of information fusion and knowledge explosion. With the rapid development of global information technology and the in-depth advancement of urbanization, urban informatization, especially smart city, will become the theme of urban development. The concept of smart city has many influences on the future development of the city. The application of the new generation of information technology will change the operation mode of the city, improve the management and service level of the city, trigger scientific and technological innovation and industrial development, and create a better city life. This chapter will introduce the core technologies to promote the development of smart cities, including big data, BIM, internet of things, cloud computing, and virtual reality technology, and on this basis introduce the typical industrial applications of various technologies.","['future', 'influence', 'information', 'trigger', 'global', 'management', 'better', 'core', 'computing', 'application', 'application', 'level', 'virtual', 'introduce', 'technological', 'many', 'become', 'modern', 'concept', 'generation', 'scientific', 'knowledge', 'mode', 'smart', 'rapid', 'life', 'especially', 'chapter', 'industrial', 'including', 'reality', 'various', 'create', 'big', 'advancement', 'development', 'operation', 'change', 'data', 'indepth', 'cloud', 'basis', 'urban', 'improve', 'technology', 'informatization', 'new', 'bim', 'internet', 'city', 'service', 'era', 'city', 'technology', 'fusion', 'urbanization', 'typical', 'theme', 'thing', 'innovation', 'promote', 'explosion']",future influence information trigger global management better core computing application application level virtual introduce technological many become modern concept generation scientific knowledge mode smart rapid life especially chapter industrial including reality various create big advancement development operation change data indepth cloud basis urban improve technology informatization new bim internet city service era city technology fusion urbanization typical theme thing innovation promote explosion
